Time,Signal_Type,Value
39359,CAUDAL_ACTUADOR,74.3204
39877.1,ORDEN_MEDICA,157
39878.4,CAUDAL_ACTUADOR,140.378
39884,ALARMA_MEDIA,-5
39885,CAUDAL_ACTUADOR,151.116
39984,CAUDAL_ACTUADOR,172.965
39990,ALARMA_MEDIA,-5
39991.2,CAUDAL_ACTUADOR,155.04
40588.2,CAUDAL_ACTUADOR,168.124
41169.2,CAUDAL_ACTUADOR,144.013
41191.2,CAUDAL_ACTUADOR,171.401
41654.2,CAUDAL_ACTUADOR,172.051
41738.1,ORDEN_MEDICA,177
41739.5,CAUDAL_ACTUADOR,182.233
42147.5,CAUDAL_ACTUADOR,195.034
42153,ALARMA_MEDIA,-5
42156.1,CAUDAL_ACTUADOR,161.141
42157.2,CAUDAL_ACTUADOR,160.857
42202.2,CAUDAL_ACTUADOR,183.31
42208.2,CAUDAL_ACTUADOR,160.044
42257.4,ORDEN_MEDICA,175
42259.8,CAUDAL_ACTUADOR,164.251
42778.8,CAUDAL_ACTUADOR,177.779
42861.8,CAUDAL_ACTUADOR,155.458
42867,ALARMA_MEDIA,-5
42870.1,CAUDAL_ACTUADOR,175.989
43357.1,CAUDAL_ACTUADOR,181.795
43832.1,CAUDAL_ACTUADOR,191.352
44346.1,CAUDAL_ACTUADOR,168.342
44724.1,CAUDAL_ACTUADOR,186.201
45300.1,CAUDAL_ACTUADOR,183.346
45820.1,CAUDAL_ACTUADOR,191.976
46153.1,CAUDAL_ACTUADOR,185.604
46171.1,CAUDAL_ACTUADOR,187.994
46207.1,CAUDAL_ACTUADOR,178.827
46499.1,CAUDAL_ACTUADOR,158.261
46643.1,CAUDAL_ACTUADOR,164.254
46674.5,ORDEN_MEDICA,125
46675.7,CAUDAL_ACTUADOR,137.757
46681,ALARMA_MEDIA,-5
46682.2,CAUDAL_ACTUADOR,127.538
47187.2,CAUDAL_ACTUADOR,134.466
47221.2,CAUDAL_ACTUADOR,127.468
47811.2,CAUDAL_ACTUADOR,116.757
48016.2,CAUDAL_ACTUADOR,129.008
48022.2,CAUDAL_ACTUADOR,110.5
48028,ALARMA_MEDIA,-5
48033,ALARMA_CRITICA,-6
48033.3,CAUDAL_ACTUADOR,0
48063,ALARMA_CRITICA,-6
48073,ALARMA_CRITICA,-6
48081,CONFIRMACION_ENFERMERO,-2
48083.4,CAUDAL_ACTUADOR,116.436
48465.4,CAUDAL_ACTUADOR,117.743
48826.4,CAUDAL_ACTUADOR,110.485
48832,ALARMA_MEDIA,-5
48837,ALARMA_CRITICA,-6
48837.1,CAUDAL_ACTUADOR,0
48867,ALARMA_CRITICA,-6
48877,ALARMA_CRITICA,-6
48887,ALARMA_CRITICA,-6
48897,ALARMA_CRITICA,-6
48907,ALARMA_CRITICA,-6
48917,ALARMA_CRITICA,-6
48927,ALARMA_CRITICA,-6
48937,ALARMA_CRITICA,-6
48947,ALARMA_CRITICA,-6
48951,CONFIRMACION_ENFERMERO,-2
48953,CAUDAL_ACTUADOR,111.317
48958,ALARMA_MEDIA,-5
48963,ALARMA_CRITICA,-6
48963.2,CAUDAL_ACTUADOR,0
48993,ALARMA_CRITICA,-6
49003,ALARMA_CRITICA,-6
49013,ALARMA_CRITICA,-6
49023,ALARMA_CRITICA,-6
49033,ALARMA_CRITICA,-6
49043,ALARMA_CRITICA,-6
49048,CONFIRMACION_ENFERMERO,-2
49049,CAUDAL_ACTUADOR,128.337
49440,FIN_BOLSA,-1
49440,ALARMA_BAJA,-4
49490,CAUDAL_ACTUADOR,138.847
49498,CAUDAL_ACTUADOR,0
49760,CONFIRMACION_ENFERMERO,-2
49762.4,CAUDAL_ACTUADOR,132.094
50235.4,CAUDAL_ACTUADOR,137.677
50241,ALARMA_MEDIA,-5
50242.1,CAUDAL_ACTUADOR,118.247
50390.1,CAUDAL_ACTUADOR,134.292
50460.1,CAUDAL_ACTUADOR,118.316
50562.1,CAUDAL_ACTUADOR,138.131
50568,ALARMA_MEDIA,-5
50573,ALARMA_CRITICA,-6
50573.2,CAUDAL_ACTUADOR,0
50603,ALARMA_CRITICA,-6
50604,CONFIRMACION_ENFERMERO,-2
50604,CAUDAL_ACTUADOR,113.899
51196,CAUDAL_ACTUADOR,121.34
51695,CAUDAL_ACTUADOR,129.796
51948,CAUDAL_ACTUADOR,136.42
52138,CAUDAL_ACTUADOR,116.326
52645,CAUDAL_ACTUADOR,125.867
52662,CAUDAL_ACTUADOR,138.297
52668,ALARMA_MEDIA,-5
52673,ALARMA_CRITICA,-6
52673.1,CAUDAL_ACTUADOR,0
52703,ALARMA_CRITICA,-6
52713,ALARMA_CRITICA,-6
52723,ALARMA_CRITICA,-6
52733,ALARMA_CRITICA,-6
52743,ALARMA_CRITICA,-6
52753,ALARMA_CRITICA,-6
52763,ALARMA_CRITICA,-6
52773,ALARMA_CRITICA,-6
52783,ALARMA_CRITICA,-6
52793,ALARMA_CRITICA,-6
52803,ALARMA_CRITICA,-6
52806,CONFIRMACION_ENFERMERO,-2
52807.3,CAUDAL_ACTUADOR,111.415
52812,ALARMA_MEDIA,-5
52813.3,CAUDAL_ACTUADOR,121.64
52871.3,CAUDAL_ACTUADOR,129.152
53353.3,CAUDAL_ACTUADOR,122.198
53674.3,CAUDAL_ACTUADOR,127.33
53857.3,CAUDAL_ACTUADOR,116.652
53945.3,CAUDAL_ACTUADOR,121.226
54442.3,CAUDAL_ACTUADOR,112.925
54447.3,CAUDAL_ACTUADOR,121.62
54740.3,CAUDAL_ACTUADOR,138.025
54746,ALARMA_MEDIA,-5
54751,ALARMA_CRITICA,-6
54751.3,CAUDAL_ACTUADOR,0
54781,ALARMA_CRITICA,-6
54791,ALARMA_CRITICA,-6
54801,ALARMA_CRITICA,-6
54811,ALARMA_CRITICA,-6
54821,ALARMA_CRITICA,-6
54831,ALARMA_CRITICA,-6
54835,CONFIRMACION_ENFERMERO,-2
54836.4,CAUDAL_ACTUADOR,135.328
55224.4,CAUDAL_ACTUADOR,115.521
55407.4,CAUDAL_ACTUADOR,119.39
55474.4,CAUDAL_ACTUADOR,136.653
55935.4,CAUDAL_ACTUADOR,124.393
56347.4,CAUDAL_ACTUADOR,115.992
56634.4,CAUDAL_ACTUADOR,129.729
56765.4,CAUDAL_ACTUADOR,116.658
56949.4,CAUDAL_ACTUADOR,133.354
57026.4,CAUDAL_ACTUADOR,114.264
57049.7,ORDEN_MEDICA,92
57050.1,CAUDAL_ACTUADOR,94.8563
57587.1,CAUDAL_ACTUADOR,98.911
57806.1,CAUDAL_ACTUADOR,81.5882
57812,ALARMA_MEDIA,-5
57815.1,CAUDAL_ACTUADOR,100.391
58241.1,CAUDAL_ACTUADOR,84.912
58470,ORDEN_MEDICA,53
58470.1,CAUDAL_ACTUADOR,54.3687
58768.1,CAUDAL_ACTUADOR,56.8896
58895.1,CAUDAL_ACTUADOR,51.7124
58973.7,ORDEN_MEDICA,51
58974.1,CAUDAL_ACTUADOR,50.1701
59263.1,CAUDAL_ACTUADOR,53.1402
59346.8,ORDEN_MEDICA,177
59346.8,CAUDAL_ACTUADOR,168.554
59634.8,CAUDAL_ACTUADOR,187.596
59934.8,CAUDAL_ACTUADOR,176.4
60101.8,CAUDAL_ACTUADOR,192.245
60319.8,CAUDAL_ACTUADOR,168.214
60855.8,CAUDAL_ACTUADOR,155.88
60861,ALARMA_MEDIA,-5
60864.5,CAUDAL_ACTUADOR,157.66
60866,ALARMA_CRITICA,-6
60866.1,CAUDAL_ACTUADOR,0
60896,ALARMA_CRITICA,-6
60906,ALARMA_CRITICA,-6
60916,ALARMA_CRITICA,-6
60926,ALARMA_CRITICA,-6
60936,ALARMA_CRITICA,-6
60946,ALARMA_CRITICA,-6
60956,ALARMA_CRITICA,-6
60966,ALARMA_CRITICA,-6
60972,CONFIRMACION_ENFERMERO,-2
60974.3,CAUDAL_ACTUADOR,162.332
61328.2,ORDEN_MEDICA,21
61330.4,CAUDAL_ACTUADOR,22.0941
61690.4,CAUDAL_ACTUADOR,21.2073
62048.4,CAUDAL_ACTUADOR,19.8342
62210.4,CAUDAL_ACTUADOR,21.9746
62383.4,CAUDAL_ACTUADOR,19.6713
62700.4,CAUDAL_ACTUADOR,19.5845
62932.8,ORDEN_MEDICA,62
62935.2,CAUDAL_ACTUADOR,66.6032
62951.2,CAUDAL_ACTUADOR,69.2413
62957,ALARMA_MEDIA,-5
62962,ALARMA_CRITICA,-6
62962.4,CAUDAL_ACTUADOR,0
62992,ALARMA_CRITICA,-6
63002,ALARMA_CRITICA,-6
63012,ALARMA_CRITICA,-6
63022,ALARMA_CRITICA,-6
63032,ALARMA_CRITICA,-6
63042,ALARMA_CRITICA,-6
63052,ALARMA_CRITICA,-6
63062,ALARMA_CRITICA,-6
63072,ALARMA_CRITICA,-6
63082,ALARMA_CRITICA,-6
63092,ALARMA_CRITICA,-6
63102,ALARMA_CRITICA,-6
63112,ALARMA_CRITICA,-6
63122,ALARMA_CRITICA,-6
63132,ALARMA_CRITICA,-6
63142,ALARMA_CRITICA,-6
63152,ALARMA_CRITICA,-6
63162,ALARMA_CRITICA,-6
63172,ALARMA_CRITICA,-6
63182,ALARMA_CRITICA,-6
63192,ALARMA_CRITICA,-6
63202,ALARMA_CRITICA,-6
63212,ALARMA_CRITICA,-6
63222,ALARMA_CRITICA,-6
63232,ALARMA_CRITICA,-6
63242,ALARMA_CRITICA,-6
63252,ALARMA_CRITICA,-6
63262,ALARMA_CRITICA,-6
63272,ALARMA_CRITICA,-6
63282,ALARMA_CRITICA,-6
63292,ALARMA_CRITICA,-6
63302,ALARMA_CRITICA,-6
63312,ALARMA_CRITICA,-6
63322,ALARMA_CRITICA,-6
63332,ALARMA_CRITICA,-6
63342,ALARMA_CRITICA,-6
63352,ALARMA_CRITICA,-6
63362,ALARMA_CRITICA,-6
63367,CONFIRMACION_ENFERMERO,-2
63367.2,CAUDAL_ACTUADOR,61.6304
63482.2,CAUDAL_ACTUADOR,59.8905
63569.2,CAUDAL_ACTUADOR,68.2027
63575,ALARMA_MEDIA,-5
63576.5,CAUDAL_ACTUADOR,68.2705
63579,ALARMA_CRITICA,-6
63579.1,CAUDAL_ACTUADOR,0
63609,ALARMA_CRITICA,-6
63619,ALARMA_CRITICA,-6
63629,ALARMA_CRITICA,-6
63639,ALARMA_CRITICA,-6
63649,ALARMA_CRITICA,-6
63659,ALARMA_CRITICA,-6
63669,ALARMA_CRITICA,-6
63679,ALARMA_CRITICA,-6
63689,ALARMA_CRITICA,-6
63699,ALARMA_CRITICA,-6
63709,ALARMA_CRITICA,-6
63719,ALARMA_CRITICA,-6
63729,ALARMA_CRITICA,-6
63739,ALARMA_CRITICA,-6
63749,ALARMA_CRITICA,-6
63759,ALARMA_CRITICA,-6
63769,ALARMA_CRITICA,-6
63779,ALARMA_CRITICA,-6
63789,ALARMA_CRITICA,-6
63799,ALARMA_CRITICA,-6
63809,ALARMA_CRITICA,-6
63819,ALARMA_CRITICA,-6
63829,ALARMA_CRITICA,-6
63839,ALARMA_CRITICA,-6
63849,ALARMA_CRITICA,-6
63859,ALARMA_CRITICA,-6
63869,ALARMA_CRITICA,-6
63879,ALARMA_CRITICA,-6
63889,ALARMA_CRITICA,-6
63899,ALARMA_CRITICA,-6
63909,ALARMA_CRITICA,-6
63919,ALARMA_CRITICA,-6
63924,CONFIRMACION_ENFERMERO,-2
63925.3,CAUDAL_ACTUADOR,68.3296
63930,ALARMA_MEDIA,-5
63932.1,CAUDAL_ACTUADOR,66.8899
64516.1,CAUDAL_ACTUADOR,56.2401
64660.1,CAUDAL_ACTUADOR,62.6813
65217.1,CAUDAL_ACTUADOR,67.3096
65293.1,CAUDAL_ACTUADOR,60.3136
65305.1,CAUDAL_ACTUADOR,57.1511
